index,Username,Date,id,Preference,Tweet
44,ladygaga,2021-01-08 04:46:17+00:00,1.3474042319348818e+18,1.0,I hope we focus to impeach Trump so Congress has the constitutional authority to possibly disqualify him from future election—the #25thAmendment doesn’t disqualify him. He incited domestic terror—how much more violence needs to happen? This is terrorism.
63,ladygaga,2020-11-17 20:00:59+00:00,1.3287902544221594e+18,1.0,"Just in time for the holidays, @hauslabs expanded my dream matte lip formula with 10 new shades of LE MONSTER MATTE LIP CRAYON! This holiday I hope you spread color and kindness 🎄 https://t.co/i9YqbjjFZi https://t.co/XOX0jBCOyG"
68,ladygaga,2020-11-07 20:25:07+00:00,1.325172450045227e+18,1.0,. @realDonaldTrump please concede.  I know you can see how America has suffered during this election and fought over the presidency for 4 years. Please do your part in a peaceful transition of power so our transition can be peaceful too. #Election2020
71,ladygaga,2020-11-05 17:22:23+00:00,1.3244016887870505e+18,1.0,Make sure you take care of yourself while the election votes continue to be counted! Sleep and rest are important! https://t.co/xSboCVpyw4
76,ladygaga,2020-11-03 01:01:08+00:00,1.3234299728040468e+18,1.0,.@realDonaldTrump #VoteBiden #Vote https://t.co/cwFYfDF5aY
80,ladygaga,2020-11-01 23:12:35+00:00,1.3230402698523976e+18,1.0,HEY TIM HEY @realDonaldTrump SO HAPPY IM GLAD TO BE LIVING RENT FREE in your HEAD. #BidenHarris https://t.co/k2ODfQNkF3 https://t.co/Iy3Nj8aYMR
88,ladygaga,2020-10-23 01:39:42+00:00,1.319453412098896e+18,1.0,YOU MUST VOTE. VOTING IS ESSENTIAL. #Debates2020 https://t.co/MJ9RwdF1Za
118,ladygaga,2020-09-22 16:07:59+00:00,1.3084378989753467e+18,0.0,"OMG my charity @BTWFoundation book IS OUT TODAY! It’s called #ChannelKindness, it’s filled with beautiful stories about bravery, the power of kindness and importance of mental health! We love you! Enjoy this masterpiece made by young people for all people! https://t.co/CwE5voosMd https://t.co/7Wqs6n8U7u"
122,ladygaga,2020-09-20 17:04:21+00:00,1.3077273089424466e+18,0.0,Love you Tony!! ❤️❤️❤️ https://t.co/4wTHwzr1KJ
132,ladygaga,2020-09-18 15:55:12+00:00,1.3069851303978437e+18,0.0,"“911” SHORT FILM 
🚨 5 MINUTES 🚨 
https://t.co/UT5mHoJ9ek https://t.co/D7hgEPyYr4"
